,bin_centres,average_attention
260,135.25,6.317225603538907e-05
261,135.75,5.849415860178794e-05
262,136.25,7.145518090805263e-05
263,136.75,6.40438068102316e-05
264,137.25,6.596897179712106e-05
265,137.75,6.95995547592221e-05
266,138.25,7.566800737724138e-05
267,138.75,8.046354546382441e-05
268,139.25,8.549599242350658e-05
269,139.75,9.000758665800444e-05
270,140.25,9.868858986436891e-05
271,140.75,0.0001084476917091479
272,141.25,9.275359924998431e-05
273,141.75,0.00010048688910975799
274,142.25,0.0001023081609710226
275,142.75,0.00011206027280001434
276,143.25,0.00012524597289872844
277,143.75,0.00013798908844411971
278,144.25,0.0001478134808035375
279,144.75,0.00016032207296095983
280,145.25,0.0001721268711667582
281,145.75,0.00019867170953819196
282,146.25,0.00019944570664905034
283,146.75,0.00020522637115621313
284,147.25,0.00020835258826066373
285,147.75,0.00021786757664088956
286,148.25,0.00022532540886295504
287,148.75,0.0002119439870409407
288,149.25,0.0002442562324347985
289,149.75,0.0002727078105431128
290,150.25,0.0003043637309672289
291,150.75,0.0003287648297318078
292,151.25,0.0003741212384361177
293,151.75,0.00040330418519645816
294,152.25,0.00038338380212187814
295,152.75,0.0003766508705463537
296,153.25,0.0004077703872001085
297,153.75,0.0004168084232794632
298,154.25,0.00048010150005394517
299,154.75,0.0005224798715726737
300,155.25,0.000521738807975755
301,155.75,0.0005450719591146151
302,156.25,0.0006070830658358278
303,156.75,0.000596826171735506
304,157.25,0.0005863629183920605
305,157.75,0.0005273196178440817
306,158.25,0.0005146250970828394
307,158.75,0.0004574475950207169
308,159.25,0.00044293446847004354
309,159.75,0.0004325320515879184
310,160.25,0.00046048654168584724
311,160.75,0.00052437423183468
312,161.25,0.0006136770301420862
313,161.75,0.0007844174673280088
314,162.25,0.0007410640262761692
315,162.75,0.0006889782019692876
316,163.25,0.0006929900340476042
317,163.75,0.000803611894329843
318,164.25,0.000642529535266019
319,164.75,0.0005992000772411894
320,165.25,0.0006661767423382461
321,165.75,0.0005933886345160366
322,166.25,0.0006153436441141761
323,166.75,0.0006366527784259711
324,167.25,0.0006340806152665728
325,167.75,0.000650591247295171
326,168.25,0.000666551935086435
327,168.75,0.0006783426767880223
328,169.25,0.0007053112976024793
329,169.75,0.0007694102521455361
330,170.25,0.0007362369072665727
331,170.75,0.0007434720187557718
332,171.25,0.0007689681823748183
333,171.75,0.0008170550370993906
334,172.25,0.0008476545895584527
335,172.75,0.0008857952075195602
336,173.25,0.0008627064032363034
337,173.75,0.0008614406572069635
338,174.25,0.000811871923775288
339,174.75,0.0008696500871214922
340,175.25,0.0009418545899649145
341,175.75,0.0009023854742075389
342,176.25,0.0008843960954581293
343,176.75,0.0009505307257012501
344,177.25,0.0010357853564078635
345,177.75,0.001169151146663635
346,178.25,0.0011566499733346673
347,178.75,0.0011864926418754913
348,179.25,0.001289225992752514
349,179.75,0.0013287207271401372
350,180.25,0.0012836178422273561
351,180.75,0.00121032087890551
352,181.25,0.0012313521809648393
353,181.75,0.0012330231023003882
354,182.25,0.001224289201652681
355,182.75,0.0012916412690996003
