,bin_centres,average_attention
345,177.75,0.00010412919993815011
346,178.25,0.00010814192056469127
347,178.75,0.00010242442593493158
348,179.25,0.00010309509091730487
349,179.75,0.0001138559857880562
350,180.25,0.00013951127180339805
351,180.75,0.00015886709400569034
352,181.25,0.00015518956695553278
353,181.75,0.00014865274580059827
354,182.25,0.00014290088596381469
355,182.75,0.00014265122328364102
356,183.25,0.00014120971161489895
357,183.75,0.00017547370719482063
358,184.25,0.00017420063998810993
359,184.75,0.00018646835495626576
360,185.25,0.0002003688013766932
361,185.75,0.0002211418224411708
362,186.25,0.00034609975304285653
363,186.75,0.00042225050067310485
364,187.25,0.00043505498421679345
365,187.75,0.0004944596764777528
366,188.25,0.00043509990204276274
367,188.75,0.00046711105176910016
368,189.25,0.0004833074244470607
369,189.75,0.0005075462448254292
370,190.25,0.0005087202437829813
371,190.75,0.00047931996955107985
372,191.25,0.0005016918307524188
373,191.75,0.0006150837293094341
374,192.25,0.0007528221582737164
375,192.75,0.0009058154138713615
376,193.25,0.000869604119745653
377,193.75,0.0010286603545164087
378,194.25,0.0011595562009864956
379,194.75,0.0011914058567613415
380,195.25,0.001277982933482974
381,195.75,0.001347268027650948
382,196.25,0.0016446404457148465
383,196.75,0.0015245020764116574
384,197.25,0.0016658836120804195
385,197.75,0.001741650010466913
386,198.25,0.001800728849736444
387,198.75,0.0016988511159815786
388,199.25,0.0016235205729918465
389,199.75,0.002069749219864854
390,200.25,0.0022557644559164413
391,200.75,0.002791116312134433
392,201.25,0.0031800064301675253
393,201.75,0.0033956759976144853
394,202.25,0.003319679944043851
395,202.75,0.0035565472047300504
396,203.25,0.0035782836894513643
397,203.75,0.0034539041760830416
398,204.25,0.003191177133376657
399,204.75,0.0030604849470524035
400,205.25,0.0026929683916844505
401,205.75,0.0027854198889251036
402,206.25,0.002495343140149407
403,206.75,0.002168717086891345
404,207.25,0.0015243743686179484
405,207.75,0.0014633928452705747
406,208.25,0.0014967588003428022
407,208.75,0.0015131605345502209
408,209.25,0.0014767863792033333
409,209.75,0.0013379645924230447
410,210.25,0.0010332066917774886
411,210.75,0.0009510099679881966
412,211.25,0.0008072152719999856
413,211.75,0.0007983201346404214
414,212.25,0.0008938767662136955
415,212.75,0.0009395325767421813
416,213.25,0.0008246133824242667
417,213.75,0.0009347675304215341
418,214.25,0.0010326112703398914
419,214.75,0.0009168175071133772
420,215.25,0.000740767513495737
421,215.75,0.0007630410067019197
422,216.25,0.0013448480145614428
423,216.75,0.001849050133659026
424,217.25,0.002181191383287479
425,217.75,0.0018315273556255547
426,218.25,0.0010506234337339688
427,218.75,0.0007599295729748395
428,219.25,0.000738600018688181
429,219.75,0.0005799225217219349
430,220.25,0.0006142209835877327
431,220.75,0.00043959218135803237
432,221.25,0.00022688379963009924
433,221.75,0.00015534450575765458
434,222.25,9.606012456801438e-05
435,222.75,7.997173187511718e-05
436,223.25,9.493743466712455e-05
437,223.75,0.0001394686224304201
438,224.25,0.00021883707998365573
439,224.75,0.0002703412891078971
440,225.25,0.0002640458468150869
441,225.75,0.0002820759666605851
442,226.25,0.00025796828590967513
443,226.75,0.00022854875150212992
444,227.25,0.00020797270446919102
445,227.75,0.0002172104807378444
446,228.25,0.00026362773137916226
447,228.75,0.0003329406340765636
448,229.25,0.0004349011253073453
449,229.75,0.00048477638906422536
450,230.25,0.0004345352081233178
451,230.75,0.0004163015373845298
452,231.25,0.0004532107030163397
453,231.75,0.00045513962215131107
454,232.25,0.0005096101960313351
455,232.75,0.0006301903650721011
456,233.25,0.0006501893859502539
457,233.75,0.0005439500458602804
458,234.25,0.0004929926459754134
459,234.75,0.0005219304898130707
460,235.25,0.0005720451597620772
461,235.75,0.0005759414338094675
462,236.25,0.0006743697724609918
463,236.75,0.0006494476955107001
464,237.25,0.0006202719080504708
465,237.75,0.0005529996028861452
466,238.25,0.0005288120984445346
467,238.75,0.0005753243586055906
468,239.25,0.0003672781436721424
469,239.75,0.00036140919540897517
470,240.25,0.00031883865584473133
471,240.75,0.00033639996649569346
472,241.25,0.00039084031996733083
473,241.75,0.00046929080833269605
474,242.25,0.00045556303528133143
475,242.75,0.0003334500264082212
476,243.25,0.00023055704594201546
477,243.75,0.0001885566648181675
478,244.25,0.00020170069146527303
479,244.75,0.00027822330171392584
480,245.25,0.00017681728495986548
481,245.75,0.00019085047571152503
482,246.25,4.8919722022613075e-05
483,246.75,7.248838500951265e-05
484,247.25,0.00011474198526630933
485,247.75,0.00011196494343432559
486,248.25,9.099648432850935e-05
487,248.75,2.825485131942171e-05
488,249.25,1.417262193962602e-05
489,249.75,1.3748634799126533e-05
490,250.25,2.7778255794395872e-05
491,250.75,5.541076386715422e-05
492,251.25,5.823328284240379e-05
493,251.75,0.00017544558648085852
494,252.25,0.00026873898380038575
495,252.75,6.366403159086432e-05
496,253.25,0.0001318501595355772
497,253.75,3.080366470270213e-05
498,254.25,0.0002700457282402011
499,254.75,0.00040640840511322056
500,255.25,0.0003912339835839505
501,255.75,0.0003206301829535111
502,256.25,0.0008123316506582686
503,256.75,0.0010148360548387335
504,257.25,0.0008130222200451667
505,257.75,0.0002892160198625291
506,258.25,0.00030424478979097254
507,258.75,0.00044890531390544004
508,259.25,0.00023660540297419752
509,259.75,0.00026528935365021874
510,260.25,0.000354134778546221
511,260.75,0.0002789207057517066
512,261.25,0.00022992730382865315
513,261.75,0.00018035657584323755
514,262.25,0.00010218515623692674
515,262.75,0.0001542828493229518
516,263.25,0.00011852492132996418
517,263.75,0.00013291078868479203
518,264.25,0.00010412093008852615
519,264.75,0.00013589041849782927
520,265.25,0.00016797192654992394
521,265.75,0.0002014493454259698
522,266.25,0.00046750617502506076
523,266.75,0.000652749424929053
524,267.25,0.0009206355074654687
525,267.75,0.0011092092378448516
526,268.25,0.0015098893667453341
527,268.75,0.0020641854305887123
528,269.25,0.002396284971728404
529,269.75,0.001989252161921139
530,270.25,0.0017965913158011005
531,270.75,0.0011079670098708924
532,271.25,0.001145047890368224
533,271.75,0.0011093794798420892
534,272.25,0.00074737804143458
535,272.75,0.0005557085356078786
536,273.25,0.0003092642519731435
537,273.75,0.00017525038925551674
538,274.25,7.158847117070698e-05
539,274.75,8.770645951149952e-05
540,275.25,4.9796368601181535e-06
